Country name,Year,Number of deaths from drought,Number of deaths from earthquakes,Number of deaths from extreme temperatures,Number of deaths from floods,Number of deaths from fog,Number of deaths from glacial lake outbursts,Number of deaths from landslides,Number of deaths from mass movements,Number of deaths from storms,Number of deaths from volcanic activity,Number of deaths from wildfires
American Samoa,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0
American Samoa,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,2000,0.0,3.4,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2000,5.8,0.0,0.0,32.8,0,0.0,1.3,0.0,0.0,0.0,0.0
Angola,2010,0.0,0.0,0.0,44.2,0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,2020,0.0,0.0,0.0,27.25,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0
Anguilla,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2000,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.4,0.0,0.0
Anguilla,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0
Antigua and Barbuda,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0
Antigua and Barbuda,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.0
Antigua and Barbuda,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6,0.0,0.0
Antigua and Barbuda,2000,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0
Antigua and Barbuda,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1920,0.0,40.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1940,0.0,1000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1950,0.0,0.0,0.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1960,0.0,0.0,0.0,11.8,0,0.0,4.5,0.0,0.0,0.0,0.0
Argentina,1970,0.0,7.0,10.0,3.6,0,0.0,0.0,0.0,18.5,0.0,0.0
Argentina,1980,0.0,0.6,0.0,10.6,0,0.0,3.0,0.0,0.2,0.0,0.0
Argentina,1990,0.0,0.0,0.0,8.5,0,0.0,0.0,0.0,2.1,0.0,2.4
Argentina,2000,0.0,0.0,4.3,6.9,0,0.0,0.4,0.0,5.7,0.0,0.8
Argentina,2010,0.8,0.0,4.2,7.9,0,0.0,2.4,0.0,3.3,0.0,0.0
Argentina,2020,0.0,0.0,0.0,0.75,0,0.0,0.0,0.0,0.0,0.0,3.75
Armenia,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1930,0.0,289.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,1990,0.0,0.0,0.0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2000,0.0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,1900,125000.0,4834.3,0.0,0.0,0,0.0,0.0,0.0,1101.2,15.5,0.0
Asia,1910,0.0,3464.4,0.0,10137.9,0,0.0,0.0,0.0,5630.0,647.5,0.0
Asia,1920,350000.0,38548.6,0.0,3.6,0,0.0,20.0,0.0,11381.9,14.4,0.0
Asia,1930,0.0,13094.4,0.0,436093.3,0,0.0,50.0,0.0,7772.8,266.9,0.0
Asia,1940,340000.0,3395.3,0.0,6065.2,0,0.0,50.0,0.0,12554.9,0.0,0.0
Asia,1950,0.0,1439.2,132.0,205570.1,0,0.0,77.8,0.0,2502.5,195.0,0.0
Asia,1960,150800.0,3054.9,50.0,2596.6,0,0.0,135.0,15.0,12052.5,313.6,0.0
Asia,1970,8.1,32729.5,89.5,6465.6,0,0.0,131.8,0.0,34436.1,30.0,0.0
Asia,1980,229.4,888.1,233.6,4194.4,0,0.0,293.7,87.3,4011.1,22.9,21.2
Asia,1990,282.3,9539.3,594.7,5293.0,0,0.0,530.7,46.8,18449.0,89.6,47.3
Asia,2000,19.1,44765.3,908.7,3709.2,0,0.0,613.1,6.6,16006.0,0.8,0.5
Asia,2010,8.8,4225.0,753.3,3723.1,0,0.0,600.6,9.2,1968.6,88.1,15.1
Asia,2020,0.0,14142.0,73.75,3512.75,0,62.5,237.0,0.0,802.0,18.0,12.5
Australia,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.1
Australia,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.9
Australia,1950,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1960,60.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.4
Australia,1970,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,11.2,0.0,0.3
Australia,1980,0.0,1.2,0.0,7.1,0,0.0,0.0,0.0,4.8,0.0,8.6
Australia,1990,0.0,0.0,2.3,3.8,0,0.0,2.8,0.0,5.1,0.0,0.7
Australia,2000,0.0,0.0,34.7,3.4,0,0.0,0.0,0.0,1.2,0.0,20.2
Australia,2010,0.0,0.0,13.9,4.9,0,0.0,0.0,0.0,3.3,0.0,4.1
Australia,2020,0.0,0.0,0.0,9.5,0,0.0,0.0,0.0,0.25,0.0,0.0
Austria,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1950,0.0,0.0,0.0,0.0,0,0.0,23.8,0.0,0.0,0.0,0.0
Austria,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1970,0.0,0.0,0.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0.0
Austria,1980,0.0,0.0,0.0,1.2,0,0.0,4.2,0.0,1.2,0.0,0.0
Austria,1990,0.0,0.0,0.0,1.3,0,0.0,5.0,0.0,0.3,0.0,0.0
Austria,2000,0.0,0.0,35.2,1.4,0,0.0,1.3,0.0,0.7,0.0,0.0
Austria,2010,0.0,0.0,0.6,0.4,0,0.0,0.0,0.0,1.6,0.0,0.0
Austria,2020,0.0,0.0,104.75,0.25,0,0.0,2.0,0.0,0.0,0.0,0.0
Azerbaijan,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,1990,0.0,0.2,0.0,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,2000,0.0,3.1,0.0,0.0,0,0.0,1.1,0.0,0.0,0.0,0.0
Azerbaijan,2010,0.0,0.0,0.5,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4,0.0,0.0
Bahamas,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.2,0.0,0.0
Bahamas,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0
Bahamas,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0
Bahamas,2000,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.4,0.0,0.0
Bahamas,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.0,0.0,0.0
Bahamas,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.2,0.0,0.0
Bangladesh,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6,0.0,0.0
Bangladesh,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,1940,190000.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6650.0,0.0,0.0
Bangladesh,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,70.0,0.0,0.0
Bangladesh,1960,0.0,0.0,0.0,1029.0,0,0.0,0.0,0.0,9262.3,0.0,0.0
Bangladesh,1970,1.8,0.0,0.0,2937.5,0,0.0,0.0,0.0,30714.4,0.0,0.0
Bangladesh,1980,0.0,0.3,17.0,706.4,0,0.0,0.0,0.0,1897.7,0.0,0.0
Bangladesh,1990,0.0,2.9,80.1,294.4,0,0.0,0.0,0.0,14259.4,0.0,0.0
Bangladesh,2000,0.0,0.4,133.5,240.4,0,0.0,1.3,0.0,558.8,0.0,0.0
Bangladesh,2010,0.0,0.9,21.8,65.3,0,0.0,25.2,0.0,59.2,0.0,0.0
Bangladesh,2020,0.0,0.0,0.0,104.75,0,0.0,0.0,0.0,19.25,0.0,0.0
Barbados,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.7,0.0,0.0
Barbados,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1970,0.0,0.0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,2000,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0
Barbados,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0
Barbados,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,1990,0.0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.5,0.0,0.0
Belarus,2000,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,2010,0.0,0.0,4.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1900,0.0,0.0,0.0,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,0.0,0.0
Belgium,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1950,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1960,0.0,0.0,1.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1980,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1990,0.0,0.0,0.0,0.1,0,0.0,0.0,0.0,2.4,0.0,0.0
Belgium,2000,0.0,0.0,211.8,0.2,0,0.0,0.0,0.0,0.7,0.0,0.0
Belgium,2010,0.0,0.0,112.9,0.4,0,0.0,0.0,0.0,0.8,0.0,0.0
Belgium,2020,0.0,0.0,530.25,9.75,0,0.0,0.0,0.0,0.5,0.0,0.0
Belize,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,150.0,0.0,0.0
Belize,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6,0.0,0.0
Belize,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.5,0.0,0.0
Belize,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0
Belize,1980,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,1990,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.9,0.0,0.0
Belize,2000,0.0,0.0,0.0,0.1,0,0.0,0.0,0.0,5.4,0.0,0.0
Belize,2010,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,2020,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1960,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1970,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2
Benin,1980,0.0,0.0,0.0,6.1,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,1990,0.0,0.0,0.0,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,2000,0.0,0.0,0.0,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0
